Pair-timeperiod,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_trades
USD/EUR-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,36.67953668,11824.88276,11833.52324,9.756018053,18.24882765,6.300361303,17.71433715,8.673555392,12.2689701,2.04233862,4.413138004,4.888477139,16.66527884,0.25134254,-3.623692337,-1.001954033,52 days 00:00:00,14 days 00:00:00,1,100,4.772820931,4.772820931,4.772820931,134 days 00:00:00,134 days 00:00:00,,4.772820931,,,"   Size  EntryBar  ExitBar  ...  Exit_EMA(C,11)  Entry_EMA(C,44) Exit_EMA(C,44)
0 -9133        72      166  ...        1.041846         1.103399       1.041829

[1 rows x 17 columns]"
USD/EUR-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,0,11358.15009,11366.44974,13.58150093,14.33804784,28.49518211,11.11491443,19.40446897,2.563688841,6.445288239,7.863373661,1.900368729,0.814694743,-3.623785837,-1.012679933,52 days 00:00:00,11 days 00:00:00,0,,,,,,,,,,,EMACrossover1,
USD/EUR-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,73.61111111,9847.92922,10011.35289,79.35562059,-1.520707804,0.647826653,-42.40071843,2.952132427,-44.53250116,-14.36274269,-6.870241885,-24.09721354,-1.689838434,0.261073899,-1.759569353,-0.618763189,5 days 13:45:00,1 days 21:00:00,8,12.5,0.235547288,-0.270233921,-0.105751068,2 days 15:00:00,0 days 16:06:00,0.217971301,-0.10563589,-1.850013784,-0.451883233,"   Size  EntryBar  ExitBar  ...  Exit_EMA(C,11)  Entry_EMA(C,57) Exit_EMA(C,57)
0 -8539        87      127  ...        1.170232         1.171152       1.170225
1  8507       127      172  ...        1.171562         1.170225       1.171736
2 -8498       172      185  ...        1.171568         1.171736       1.171546
3  8460       185      239  ...        1.172528         1.171546       1.172642
4 -8451       239      248  ...        1.172943         1.172642       1.172649
5  8397       248      346  ...        1.179534         1.172649       1.179656
6 -8389       346      367  ...        1.179119         1.179656       1.179011
7  8341       367      404  ...        1.179981         1.179011       1.179985

[8 rows x 17 columns]"
USD/JPY-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,96.13899614,11875.63729,12612.57805,163.7309668,18.75637286,-11.13441165,18.20590433,12.64623829,12.60144373,1.439630024,2.807679468,2.875834778,16.17455684,-0.231877185,-6.33065031,-1.189596878,71 days 00:00:00,12 days 00:00:00,14,42.85714286,8.97403042,-1.205935388,1.29743734,73 days 00:00:00,26 days 00:00:00,4.370104896,1.341488378,1.576615463,0.319497737,"    Size  EntryBar  ExitBar  ...  Exit_EMA(C,7)  Entry_EMA(C,8) Exit_EMA(C,8)
0    -63         8       59  ...     142.738172      160.614054    142.727200
1     75        59      106  ...     154.116111      142.727200    154.143755
2    -75       106      117  ...     151.331252      154.143755    151.329421
3     76       117      141  ...     157.414766      151.329421    157.428609
4    -76       141      185  ...     148.796692      157.428609    148.783876
5     82       185      187  ...     148.689014      148.783876    148.691332
6    -82       187      188  ...     148.936011      148.691332    148.910370
7     81       188      196  ...     149.386829      148.910370    149.417894
8    -81       196      215  ...     143.506048      149.417894    143.489515
9     84       215      228  ...     145.312176      143.489515    145.326134
10   -84       228      242  ...     143.981781      145.326134    143.966773
11    83       242      245  ...     143.946720      143.966773    143.952995
12   -83       245      247  ...     144.169344      143.952995    144.149295
13    81       247      256  ...     144.905101      144.149295    144.906846

[14 rows x 17 columns]"
USD/JPY-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,90.625,10139.966,10786.94407,80.96956349,1.39966002,-9.154182235,2.774259695,10.76776765,1.954486686,0.257644833,0.402649634,0.426500305,-2.913368743,-0.471153911,-6.504707412,-1.650826538,71 days 00:00:00,17 days 00:00:00,8,25,4.400503578,-1.071974845,0.203861776,61 days 00:00:00,21 days 00:00:00,1.410019678,0.219537629,0.29957789,0.067145563,"   Size  EntryBar  ExitBar  ...  Exit_EMA(C,6)  Entry_EMA(C,7) Exit_EMA(C,7)
0   -63        10       53  ...     148.585855      157.416670    148.578258
1    69        53       65  ...     149.332962      148.578258    149.386829
2   -69        65       84  ...     143.561070      149.386829    143.506048
3    71        84       97  ...     145.269582      143.506048    145.312176
4   -71        97      110  ...     143.802193      145.312176    143.795710
5    71       110      114  ...     143.938036      143.795710    143.946720
6   -71       114      116  ...     144.195245      143.946720    144.169344
7    69       116      125  ...     144.890504      144.169344    144.905101

[8 rows x 17 columns]"
USD/JPY-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,69.60556845,9910.875747,10017.02887,98.58641898,-0.891242529,-0.227236675,-27.55087733,5.036259443,-29.12963844,-5.470503981,-4.406909294,-21.93548146,-0.845005525,0.203475098,-1.255996016,-0.404366697,5 days 11:45:00,1 days 10:00:00,10,40,0.601730479,-0.179219708,0.020221094,2 days 13:15:00,0 days 12:27:00,1.34501557,0.020446726,0.282267104,0.100557112,"   Size  EntryBar  ExitBar  ...  Exit_EMA(C,8)  Entry_EMA(C,40) Exit_EMA(C,40)
0    69        84      110  ...     144.427947       144.306094     144.437685
1   -69       110      117  ...     144.426917       144.437685     144.426322
2    68       117      125  ...     144.428284       144.426322     144.435481
3   -68       125      139  ...     144.415298       144.435481     144.413598
4    68       139      185  ...     144.611115       144.413598     144.641253
5   -68       185      230  ...     144.174085       144.641253     144.173821
6    68       230      257  ...     144.271117       144.173821     144.273754
7   -68       257      343  ...     143.229136       144.273754     143.226676
8    69       343      370  ...     143.496786       143.226676     143.507473
9   -69       370      383  ...     143.500458       143.507473     143.478518

[10 rows x 17 columns]"
USD/GBP-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,49.03474903,11526.24485,11589.86021,19.83172136,15.2624485,6.775715831,14.82080888,8.184288965,10.30366975,1.810885337,3.25588573,5.360863179,13.86953964,0.205573682,-2.764631065,-1.027524839,52 days 00:00:00,14 days 00:00:00,2,100,4.72627939,0.599846235,2.642328517,127 days 00:00:00,89 days 00:00:00,,2.663062812,1.28909368,,"   Size  EntryBar  ExitBar  ...  Exit_EMA(C,11)  Entry_EMA(C,26) Exit_EMA(C,26)
0  7694        35       72  ...        1.317836          1.28422       1.318290
1 -7686        72      161  ...        1.242056          1.31829       1.242006

[2 rows x 17 columns]"
USD/GBP-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,0,10954.33763,11014.80237,9.5433763,10.89004964,19.65619229,9.181695975,13.53429586,2.140801911,4.072360868,7.27379971,0.6707055,0.814750262,-2.702327954,-0.89374808,27 days 00:00:00,9 days 00:00:00,0,,,,,,,,,,,EMACrossover1,
USD/GBP-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,73.37962963,9854.154032,10002.26954,118.6628137,-1.458459677,-0.465641395,-41.07542276,5.330131135,-43.16794335,-7.706268705,-4.724339689,-19.55745915,-1.543159583,-0.181899434,-2.100243311,-1.090202352,5 days 13:45:00,2 days 19:45:00,12,16.66666667,0.201886594,-0.16469596,-0.067116911,2 days 10:30:00,0 days 10:43:00,0.247709517,-0.06706647,-2.227453832,-0.511263095,"    Size  EntryBar  ExitBar  ...  Exit_EMA(C,17)  Entry_EMA(C,32) Exit_EMA(C,32)
0  -7280        87      109  ...        1.373293         1.373812       1.373288
1   7259       109      120  ...        1.373410         1.373288       1.373433
2  -7251       120      127  ...        1.373401         1.373433       1.373395
3   7222       127      143  ...        1.373543         1.373395       1.373593
4  -7215       143      151  ...        1.373643         1.373593       1.373619
5   7189       151      152  ...        1.373572         1.373619       1.373582
6  -7182       152      188  ...        1.371543         1.373582       1.371516
7   7184       188      221  ...        1.372113         1.371516       1.372119
8  -7177       221      255  ...        1.370370         1.372119       1.370357
9   7168       255      339  ...        1.375432         1.370357       1.375503
10 -7161       339      367  ...        1.373694         1.375503       1.373693
11  7139       367      403  ...        1.374375         1.373693       1.374382

[12 rows x 17 columns]"
USD/INR-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,77.99227799,10449.3101,10552.68308,40.53246647,4.493101036,2.227965784,4.369051427,3.90704576,3.080923464,1.118249362,1.619310987,2.098251693,4.476025061,0.00766438,-2.082234196,-0.505650835,54 days 00:00:00,15 days 00:00:00,4,75,3.165531919,-0.177869176,1.186791495,168 days 00:00:00,72 days 00:00:00,27.8670889,1.194706744,1.65241221,0.72323768,"   Size  EntryBar  ExitBar  ...  Exit_EMA(C,7)  Entry_EMA(C,23) Exit_EMA(C,23)
0  -119        56       67  ...      83.786103        83.898591      83.783408
1   118        67      185  ...      86.929925        83.783408      86.972004
2  -118       185      227  ...      85.334167        86.972004      85.328650
3   121       227      257  ...      85.846878        85.328650      85.866540

[4 rows x 17 columns]"
