Pair-timeperiod,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_trades
USD/EUR-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,19.30501931,10019.86487,10301.33669,55.99030405,0.19864865,8.203766498,0.193274583,2.931433225,0.137107069,0.065931771,0.096716805,0.070734844,-0.388936922,0.071623878,-2.732381571,-0.87676736,208 days 00:00:00,53 days 00:00:00,14,50,1.338994601,-0.810946271,0.060837674,17 days 00:00:00,5 days 00:00:00,1.348036522,0.062265721,0.409108489,0.126392326,"    Size  EntryBar  ExitBar  ...   Tag  Entry_momentum(C,9) Exit_momentum(C,9)
0   9078        32       33  ...  None             0.020914           0.005673
1   8925        37       38  ...  None             0.021954           0.018632
2   8865        39       40  ...  None             0.023014           0.015251
3  -9041        72       74  ...  None            -0.020924          -0.018966
4  -9331        96      101  ...  None            -0.022327          -0.011690
5  -9398       102      104  ...  None            -0.023065          -0.017302
6  -9632       122      123  ...  None            -0.022232          -0.018978
7   9512       162      163  ...  None             0.020871           0.015671
8   9239       176      185  ...  None             0.028034           0.013390
9   9201       200      201  ...  None             0.022192           0.013986
10  8947       202      211  ...  None             0.040089           0.007577
11 -9143       222      223  ...  None            -0.025786          -0.012304
12  8844       231      232  ...  None             0.024986           0.018142
13  8679       245      246  ...  None             0.021750           0.009014

[14 rows x 15 columns]"
USD/EUR-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,55.46875,10012.22503,10563.25724,73.02394849,0.122250338,14.97527477,0.240822869,6.759613833,0.170284924,0.03562672,0.063366331,0.040401898,-5.97267034,0.406998921,-5.960682051,-1.459287541,71 days 00:00:00,22 days 00:00:00,18,44.44444444,2.56790575,-1.242408794,0.003049447,20 days 00:00:00,5 days 00:00:00,1.024029233,0.007891454,0.015225172,0.004846932,"    Size  EntryBar  ExitBar  ...   Tag  Entry_momentum(C,7) Exit_momentum(C,7)
0   9594        13       20  ...  None             0.011952           0.000438
1  -9756        22       23  ...  None            -0.015597          -0.008510
2  -9617        27       28  ...  None            -0.010899          -0.009209
3   9573        29       30  ...  None             0.011432           0.006256
4   9517        34       37  ...  None             0.013259           0.007971
5   9377        44       52  ...  None             0.014527           0.007998
6   9341        53       54  ...  None             0.012164           0.007264
7  -9509        60       62  ...  None            -0.016221          -0.008064
8   9175        66       78  ...  None             0.023755           0.006173
9   9105        81       82  ...  None             0.010314          -0.000661
10 -9153        83       84  ...  None            -0.016319          -0.004824
11 -9255        89       90  ...  None            -0.014490          -0.008411
12 -9354        91       96  ...  None            -0.017786           0.000820
13  9042        98       99  ...  None             0.021235           0.008608
14  8966       100      103  ...  None             0.017071           0.000022
15  8791       106      107  ...  None             0.015210           0.001025
16  8734       109      111  ...  None             0.010297           0.004365
17  8601       114      116  ...  None             0.018955           0.008513

[18 rows x 15 columns]"
USD/EUR-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,3.472222222,9958.452672,10003.38219,23.958824,-0.415473276,0.777389073,-13.91904154,0.950406562,-14.79654977,-14.64535505,-9.328441336,-30.99020185,-0.444865777,0.037809255,-0.449143301,-0.244566277,6 days 03:45:00,3 days 02:30:00,6,16.66666667,0.023405684,-0.070443006,-0.02938927,0 days 00:45:00,0 days 00:23:00,0.117198376,-0.029384047,-2.031808631,-1.60758087,"   Size  EntryBar  ExitBar  ...   Tag  Entry_momentum(C,3) Exit_momentum(C,3)
0  8542        32       33  ...  None             0.002107           0.001522
1  8519        36       39  ...  None             0.002229           0.000000
2  8525       127      129  ...  None             0.002344           0.000586
3  8498       151      152  ...  None             0.002702           0.001526
4  8488       248      249  ...  None             0.002350           0.001292
5  8437       321      322  ...  None             0.002480           0.001180

[6 rows x 15 columns]"
USD/JPY-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,49.80694981,9740.47568,10706.45345,110.3386052,-2.595243199,-9.306598638,-2.525995039,7.051337311,-1.799065262,-0.358229216,-0.534181361,-0.279969676,-3.382601118,-0.084602114,-9.022387988,-3.070374223,251 days 00:00:00,69 days 00:00:00,27,29.62962963,4.151949645,-1.980864541,-0.058782112,29 days 00:00:00,6 days 00:00:00,0.898680255,-0.049041653,-0.198936921,-0.037371682,"    Size  EntryBar  ExitBar  ...   Tag  Entry_momentum(C,11) Exit_momentum(C,11)
0    -64        12       33  ...  None             -0.036024           -0.003486
1    -72        39       40  ...  None             -0.024846           -0.017179
2    -72        41       42  ...  None             -0.020458           -0.017269
3    -72        49       50  ...  None             -0.025417           -0.005715
4    -72        53       57  ...  None             -0.020314           -0.018183
5     70        65       79  ...  None              0.020740            0.018796
6     70        81       83  ...  None              0.020196            0.017585
7     69        84       88  ...  None              0.028567            0.016072
8     68        92       93  ...  None              0.021054            0.002690
9     66        98       99  ...  None              0.021305            0.017660
10    66       102      103  ...  None              0.025489           -0.000661
11   -67       107      115  ...  None             -0.021461           -0.017762
12    66       120      133  ...  None              0.027939            0.018154
13   -68       156      160  ...  None             -0.020337           -0.014008
14   -69       164      166  ...  None             -0.025225           -0.018899
15   -70       167      168  ...  None             -0.020956           -0.011945
16   -70       171      173  ...  None             -0.025540           -0.014498
17   -69       177      178  ...  None             -0.020579           -0.012048
18    68       189      190  ...  None              0.021449            0.019589
19   -70       198      199  ...  None             -0.021286           -0.012614
20   -69       200      201  ...  None             -0.032691           -0.017012
21   -69       202      209  ...  None             -0.044699           -0.015196
22   -70       210      211  ...  None             -0.033223           -0.013741
23   -70       212      213  ...  None             -0.035421           -0.010073
24    68       221      225  ...  None              0.020528            0.018209
25   -69       231      234  ...  None             -0.021559           -0.012411
26    67       248      249  ...  None              0.020526            0.007773

[27 rows x 15 columns]"
USD/JPY-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,72.65625,9865.022712,10170.12931,70.6210871,-1.349772883,-8.111742124,-2.639989157,8.39507623,-1.874680612,-0.314468753,-0.462824432,-0.600176551,-4.369065788,-0.372212634,-4.398687609,-3.307085334,74 days 00:00:00,55 days 00:00:00,18,38.88888889,2.688900958,-1.659008317,-0.036622918,26 days 00:00:00,7 days 00:00:00,0.90771322,-0.032192209,-0.158645383,-0.044900124,"    Size  EntryBar  ExitBar  ...   Tag  Entry_momentum(C,10) Exit_momentum(C,10)
0    -64        11       12  ...  None             -0.012748           -0.007461
1    -63        13       20  ...  None             -0.015811           -0.006944
2    -64        24       30  ...  None             -0.010535           -0.005897
3    -65        32       35  ...  None             -0.021498           -0.009082
4    -66        36       42  ...  None             -0.011806           -0.008236
5    -66        43       46  ...  None             -0.014124           -0.008701
6    -67        47       49  ...  None             -0.011909           -0.006949
7    -67        51       53  ...  None             -0.013752            0.000496
8     65        57       62  ...  None              0.014017            0.006857
9    -67        66       82  ...  None             -0.015916           -0.009722
10    69        84       87  ...  None              0.015833            0.002432
11    67        89       94  ...  None              0.021949            0.001134
12   -68        99      103  ...  None             -0.014772           -0.006498
13   -67       104      107  ...  None             -0.012595           -0.003402
14    67       110      112  ...  None              0.012767            0.004585
15   -67       113      114  ...  None             -0.010254           -0.004069
16    67       116      121  ...  None              0.015984            0.009603
17    68       124      125  ...  None              0.010475            0.002956

[18 rows x 15 columns]"
USD/JPY-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,9.744779582,9992.429338,10011.73106,59.59756343,-0.075706622,-0.895955702,-2.689637871,2.570128165,-2.870844065,-1.046499512,-1.868319203,-12.00758296,-0.08653126,-0.012081666,-0.223994944,-0.118011587,5 days 05:45:00,1 days 05:57:00,15,80,0.223250809,-0.123206893,0.034982989,0 days 01:15:00,0 days 00:27:00,2.911087909,0.035021685,1.48690938,0.52452665,"    Size  EntryBar  ExitBar  ...   Tag  Entry_momentum(C,4) Exit_momentum(C,4)
0    -69        28       29  ...  None            -0.002424          -0.000871
1    -69        30       34  ...  None            -0.003321          -0.001767
2    -69        36       37  ...  None            -0.002074          -0.001977
3     69        49       50  ...  None             0.002423           0.001741
4    -69        69       70  ...  None            -0.002055          -0.001510
5     69       101      102  ...  None             0.002126           0.001668
6    -69       107      109  ...  None            -0.002558          -0.001466
7    -69       197      198  ...  None            -0.003126          -0.001828
8     69       221      222  ...  None             0.002065           0.001292
9    -69       314      319  ...  None            -0.002068          -0.001550
10    69       336      338  ...  None             0.002312           0.001672
11    69       344      345  ...  None             0.002614           0.001311
12   -69       367      369  ...  None            -0.002302          -0.001741
13    69       383      384  ...  None             0.002065           0.000711
14    69       417      420  ...  None             0.002037           0.001271

[15 rows x 15 columns]"
USD/GBP-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,18.53281853,10034.0209,10105.45066,67.90363175,0.340209011,6.244530023,0.330998973,2.192479348,0.234760517,0.150970167,0.219917499,0.1543628,0.014608446,0.052141725,-2.144292366,-0.787505185,308 days 00:00:00,105 days 00:00:00,17,64.70588235,0.719624816,-0.830636163,0.060012202,9 days 00:00:00,3 days 00:00:00,1.505144476,0.060753953,0.623276338,0.215026161,"    Size  EntryBar  ExitBar  ...   Tag  Entry_momentum(C,7) Exit_momentum(C,7)
0   7722        34       35  ...  None             0.021039           0.019057
1   7692        36       38  ...  None             0.022356           0.017957
2   7622        39       42  ...  None             0.029927           0.015648
3   7550        59       60  ...  None             0.021049           0.016567
4   7503        61       62  ...  None             0.022022           0.007952
5  -7606        68       69  ...  None            -0.022124          -0.014309
6  -7633        70       73  ...  None            -0.024534          -0.015962
7  -7894        98      101  ...  None            -0.028807          -0.017227
8  -7982       123      124  ...  None            -0.022071          -0.015386
9  -8123       138      139  ...  None            -0.025106          -0.011866
10 -8075       141      142  ...  None            -0.021389          -0.019310
11  7948       150      151  ...  None             0.022240           0.010050
12  7675       176      177  ...  None             0.021723           0.016638
13  7678       179      182  ...  None             0.021953           0.012829
14  7517       205      210  ...  None             0.024808           0.018417
15  7398       231      232  ...  None             0.020534           0.019412
16  7309       255      257  ...  None             0.021946           0.018838

[17 rows x 15 columns]"
USD/GBP-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,56.25,9975.868432,10188.75046,39.82148206,-0.241315676,10.73574715,-0.474534904,5.161359107,-0.335893516,-0.091939912,-0.135416155,-0.189757157,-3.502235507,0.303744098,-2.500748383,-1.306089271,64 days 00:00:00,26 days 00:00:00,10,50,1.970949439,-1.203391295,0.044722101,27 days 00:00:00,9 days 00:00:00,1.14618287,0.049361265,0.139653044,0.058295626,"   Size  EntryBar  ExitBar  ...   Tag  Entry_momentum(C,13) Exit_momentum(C,13)
0 -8092        16       17  ...  None             -0.012552           -0.001483
1  7964        19       22  ...  None              0.011571            0.006429
2  7871        23       26  ...  None              0.015391            0.008607
3  7776        32       38  ...  None              0.011451            0.009097
4  7738        39       58  ...  None              0.019050            0.002507
5 -7850        68       70  ...  None             -0.021191           -0.007670
6  7583        72       86  ...  None              0.010965            0.008959
7 -7612        89       90  ...  None             -0.010787            0.001196
8  7475        98       99  ...  None              0.011084            0.009528
9  7407       100      112  ...  None              0.013468            0.006632

[10 rows x 15 columns]"
USD/GBP-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,2.546296296,9982.787537,10000,19.9751099,-0.172124627,-0.258087459,-6.013427109,1.126234456,-6.411060504,-5.339409639,-5.142196277,-29.88502083,-0.18493631,-0.049640856,-0.201218769,-0.201218769,6 days 05:15:00,6 days 05:15:00,5,60,0.017811524,-0.027466491,-0.000289622,0 days 00:30:00,0 days 00:18:00,0.966169997,-0.000288028,-0.032904363,-0.021440969,"   Size  EntryBar  ExitBar  ...   Tag  Entry_momentum(C,3) Exit_momentum(C,3)
0  7280        32       33  ...  None             0.002252           0.001428
1 -7288        49       51  ...  None            -0.002426          -0.001302
2  7275        57       58  ...  None             0.002005           0.001044
3  7266        59       60  ...  None             0.002212           0.000714
4 -7281       220      221  ...  None            -0.002207          -0.001151

[5 rows x 15 columns]"
USD/INR-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,0.772200772,9937.437208,10000,3.983110529,-0.625627919,2.469696971,-0.608770631,0.59519632,-0.432359826,-1.022806443,-1.016482494,-0.973055409,-0.570516646,-0.022314994,-0.625627919,-0.625627919,98 days 00:00:00,98 days 00:00:00,1,0,-0.590016228,-0.590016228,-0.590016228,1 days 00:00:00,1 days 00:00:00,0,-0.590016228,,,"   Size  EntryBar  ExitBar  ...   Tag  Entry_momentum(C,9) Exit_momentum(C,9)
0  -116       190      191  ...  None            -0.020039          -0.009511

[1 rows x 15 columns]"
