Pair-timeperiod,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_trades
USD/EUR-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,44.01544402,9739.666602,10528.31909,57.26643463,-2.60333398,8.663137373,-2.533872755,6.843622011,-1.804696957,-0.370253172,-0.469565668,-0.335022401,0.34855789,-0.340741667,-7.563293514,-1.881986811,120 days 00:00:00,32 days 00:00:00,14,64.28571429,1.659108469,-3.643989931,0.10891231,35 days 00:00:00,12 days 00:00:00,1.24499706,0.120085838,0.258701893,0.11412772,"     Size  EntryBar  ExitBar  ...   Tag  Entry_z_scores(C,18) Exit_z_scores(C,18)
0   -9659       122      123  ...  None             -2.994650           -2.285720
1    9628       123      144  ...  None             -2.285720            1.395482
2   -9624       144      153  ...  None              1.395482           -1.395676
3    9945       153      155  ...  None             -1.395676            0.189957
4   -9941       155      158  ...  None              0.189957           -0.978197
5   10055       158      161  ...  None             -0.978197            0.133703
6  -10051       161      172  ...  None              0.133703           -0.486051
7   10041       172      174  ...  None             -0.486051            0.797419
8  -10037       174      190  ...  None              0.797419           -0.085508
9    9470       190      196  ...  None             -0.085508            1.044538
10  -9466       196      219  ...  None              1.044538           -0.719526
11   8797       219      228  ...  None             -0.719526            0.211296
12  -8793       228      234  ...  None              0.211296           -0.366926
13   8875       234      235  ...  None             -0.366926            1.359169

[14 rows x 15 columns]"
USD/EUR-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,85.15625,9754.720172,10089.75852,122.5209753,-2.452798275,13.85159064,-4.771560386,8.938863194,-3.399203871,-0.533799464,-0.720494548,-1.027976816,-2.616315338,0.01180493,-4.641700387,-2.628590255,58 days 00:00:00,33 days 00:00:00,31,58.06451613,2.791943536,-3.534596777,0.010929105,12 days 00:00:00,5 days 00:00:00,1.050331881,0.015769375,0.059343177,0.018915148,"    Size  EntryBar  ExitBar  ...   Tag  Entry_z_scores(C,5) Exit_z_scores(C,5)
0   9594        13       14  ...  None             1.754414           0.973168
1  -9590        14       19  ...  None             0.973168          -0.194438
2   9544        19       24  ...  None            -0.194438           0.269267
3  -9540        24       27  ...  None             0.269267          -1.251424
4   9649        27       29  ...  None            -1.251424           0.270987
5  -9645        29       34  ...  None             0.270987          -0.177948
6   9488        34       36  ...  None            -0.177948           0.954383
7  -9484        36       40  ...  None             0.954383          -0.047445
8   9501        40       43  ...  None            -0.047445           0.433918
9  -9498        43       51  ...  None             0.433918          -0.531059
10  8845        51       52  ...  None            -0.531059           0.205061
11 -8842        52       56  ...  None             0.205061          -1.376031
12  8878        56       61  ...  None            -1.376031           0.206615
13 -8875        61       64  ...  None             0.206615          -0.011729
14  8879        64       65  ...  None            -0.011729           1.728961
15 -8876        65       68  ...  None             1.728961          -0.153941
16  8861        68       69  ...  None            -0.153941           0.248969
17 -8858        69       70  ...  None             0.248969          -0.490377
18  8900        70       71  ...  None            -0.490377           1.751930
19 -8897        71       77  ...  None             1.751930          -0.327355
20  8747        77       81  ...  None            -0.327355           1.539752
21 -8743        81       83  ...  None             1.539752          -1.256467
22  8870        83       87  ...  None            -1.256467           1.334051
23 -8866        87       88  ...  None             1.334051          -0.577258
24  8920        88       94  ...  None            -0.577258           0.316315
25 -8916        94      102  ...  None             0.316315          -0.125166
26  8686       102      104  ...  None            -0.125166           0.570353
27 -8682       104      110  ...  None             0.570353          -0.550660
28  8634       110      111  ...  None            -0.550660           0.343821
29 -8631       111      117  ...  None             0.343821          -1.262783
30  8545       117      121  ...  None            -1.262783           1.713674

[31 rows x 15 columns]"
USD/EUR-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,0,10000,10000,0,0.836280089,0,0,0,,,,0,0,0,,,,0,,,,,,,,,,,MRStrategy1,
USD/JPY-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,44.01544402,9639.731828,10000,64.91017426,-3.602681718,-7.754709921,-3.507039939,7.301374841,-2.501424971,-0.480325968,-0.610306622,-0.424740255,-2.505070687,0.141541211,-8.256905018,-8.256905018,166 days 00:00:00,166 days 00:00:00,17,58.82352941,1.316430116,-3.288649325,-0.133122618,32 days 00:00:00,10 days 00:00:00,0.756661009,-0.125850482,-0.450315286,-0.205852032,"    Size  EntryBar  ExitBar  ...   Tag  Entry_z_scores(C,13) Exit_z_scores(C,13)
0    -64       142      143  ...  None             -2.507527           -1.224012
1     63       143      161  ...  None             -1.224012            0.319656
2    -63       161      162  ...  None              0.319656           -0.412745
3     64       162      184  ...  None             -0.412745            0.589641
4    -64       184      186  ...  None              0.589641           -0.058096
5     65       186      187  ...  None             -0.058096            0.148109
6    -65       187      196  ...  None              0.148109           -1.969937
7     65       196      214  ...  None             -1.969937            0.215684
8    -65       214      218  ...  None              0.215684           -0.014790
9     65       218      219  ...  None             -0.014790            0.564510
10   -65       219      227  ...  None              0.564510           -0.314789
11    64       227      234  ...  None             -0.314789            0.376028
12   -64       234      235  ...  None              0.376028           -0.649341
13    66       235      241  ...  None             -0.649341            1.130941
14   -66       241      245  ...  None              1.130941           -0.867999
15    67       245      246  ...  None             -0.867999            0.154447
16   -67       246      255  ...  None              0.154447           -0.226401

[17 rows x 15 columns]"
USD/JPY-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,88.28125,10379.82509,10503.72773,117.2256104,3.798250855,-9.23687632,7.615327483,11.66266464,5.32852744,0.652966343,1.049770164,2.322684744,4.009015399,0.022817729,-3.278674605,-1.719151398,65 days 00:00:00,20 days 00:00:00,29,62.06896552,2.47763418,-1.482453367,0.203818709,12 days 00:00:00,6 days 00:00:00,1.914650345,0.207397532,1.28042087,0.293487454,"    Size  EntryBar  ExitBar  ...   Tag  Entry_z_scores(C,6) Exit_z_scores(C,6)
0    -63        10       11  ...  None            -1.876727          -1.616884
1     64        11       15  ...  None            -1.616884           1.058259
2    -64        15       17  ...  None             1.058259          -0.454760
3     65        17       22  ...  None            -0.454760           0.378309
4    -65        22       24  ...  None             0.378309          -1.237584
5     66        24       29  ...  None            -1.237584           0.348266
6    -66        29       32  ...  None             0.348266          -0.608904
7     66        32       41  ...  None            -0.608904           1.296334
8    -66        41       43  ...  None             1.296334          -0.476677
9     67        43       44  ...  None            -0.476677           0.232935
10   -67        44       45  ...  None             0.232935          -0.953312
11    68        45       50  ...  None            -0.953312           0.449390
12   -68        50       55  ...  None             0.449390          -0.333262
13    67        55       57  ...  None            -0.333262           1.225503
14   -67        57       62  ...  None             1.225503          -1.108111
15    67        62       70  ...  None            -1.108111           0.603371
16   -67        70       71  ...  None             0.603371          -1.598210
17    71        71       77  ...  None            -1.598210           0.086640
18   -71        77       81  ...  None             0.086640          -0.429241
19    71        81       83  ...  None            -0.429241           0.169678
20   -71        83       87  ...  None             0.169678          -0.551872
21    71        87       89  ...  None            -0.551872           1.386613
22   -71        89       94  ...  None             1.386613          -0.974990
23    71        94      102  ...  None            -0.974990           0.826040
24   -71       102      104  ...  None             0.826040          -0.054998
25    72       104      109  ...  None            -0.054998           0.299059
26   -72       109      114  ...  None             0.299059          -1.467503
27    72       114      116  ...  None            -1.467503           0.771864
28   -72       116      122  ...  None             0.771864          -0.926891

[29 rows x 15 columns]"
USD/JPY-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,0,10000,10000,0,-0.954750685,0,0,0,,,,0,0,0,,,,0,,,,,,,,,,,MRStrategy1,
USD/GBP-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,60.61776062,9984.906379,10232.8433,88.44621718,-0.150936207,5.855357502,-0.146859847,6.560811243,-0.104232375,-0.022384404,-0.032298244,-0.032435598,0.306771891,-0.078169112,-4.527736659,-1.734269498,140 days 00:00:00,38 days 00:00:00,22,77.27272727,1.137506035,-3.421596273,0.071118712,43 days 00:00:00,11 days 00:00:00,1.212975911,0.077110039,0.296256153,0.125407059,"    Size  EntryBar  ExitBar  ...   Tag  Entry_z_scores(C,18) Exit_z_scores(C,18)
0  -7848        96       97  ...  None             -2.906022           -2.555796
1   7885        97      112  ...  None             -2.555796            0.436516
2  -7881       112      118  ...  None              0.436516           -0.027530
3   7908       118      120  ...  None             -0.027530            0.179747
4  -7905       120      122  ...  None              0.179747           -1.639115
5   8056       122      147  ...  None             -1.639115            0.099840
6  -8053       147      153  ...  None              0.099840           -0.335127
7   8131       153      154  ...  None             -0.335127            1.056833
8  -8127       154      159  ...  None              1.056833           -0.240141
9   8218       159      160  ...  None             -0.240141            0.689799
10 -8214       160      191  ...  None              0.689799           -0.530855
11  7668       191      192  ...  None             -0.530855            0.396030
12 -7665       192      193  ...  None              0.396030           -0.026205
13  7678       193      196  ...  None             -0.026205            2.248542
14 -7675       196      198  ...  None              2.248542           -0.941695
15  7833       198      202  ...  None             -0.941695            0.695313
16 -7830       202      220  ...  None              0.695313           -0.622453
17  7539       220      223  ...  None             -0.622453            0.029171
18 -7536       223      224  ...  None              0.029171           -0.658926
19  7579       224      225  ...  None             -0.658926            0.114323
20 -7576       225      248  ...  None              0.114323           -2.014050
21  7434       248      252  ...  None             -2.014050            0.389722

[22 rows x 15 columns]"
USD/GBP-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,82.03125,10172.25912,10337.51982,77.42645791,1.722591249,11.59055947,3.41964323,8.166072512,2.406939275,0.418762291,0.640805171,0.989330007,4.212706315,-0.214839937,-3.456524319,-1.234452334,82 days 00:00:00,26 days 00:00:00,19,78.94736842,1.353343724,-2.265330537,0.174009769,26 days 00:00:00,8 days 00:00:00,1.507316029,0.179369385,0.708847121,0.257847346,"    Size  EntryBar  ExitBar  ...   Tag  Entry_z_scores(C,12) Exit_z_scores(C,12)
0   8024        17       18  ...  None              2.177736            1.711087
1  -8021        18       22  ...  None              1.711087           -0.679159
2   8238        22       23  ...  None             -0.679159            0.666129
3  -8234        23       27  ...  None              0.666129           -0.621486
4   8284        27       29  ...  None             -0.621486            0.426902
5  -8281        29       41  ...  None              0.426902           -0.179884
6   8084        41       43  ...  None             -0.179884            1.668803
7  -8081        43       57  ...  None              1.668803           -0.570308
8   7799        57       65  ...  None             -0.570308            2.006595
9  -7796        65       67  ...  None              2.006595           -0.687538
10  7956        67       71  ...  None             -0.687538            0.744607
11 -7953        71       84  ...  None              0.744607           -0.209425
12  7598        84       87  ...  None             -0.209425            0.520124
13 -7595        87       88  ...  None              0.520124           -0.443041
14  7662        88       94  ...  None             -0.443041            0.521844
15 -7659        94      112  ...  None              0.521844           -0.385299
16  7428       112      113  ...  None             -0.385299            0.969618
17 -7425       113      117  ...  None              0.969618           -2.508381
18  7574       117      121  ...  None             -2.508381            0.404497

[19 rows x 15 columns]"
USD/GBP-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,0,10000,10000,0,-0.217121188,0,0,0,,,,0,0,0,,,,0,,,,,,,,,,,MRStrategy1,
USD/INR-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,0,10000,10000,0,2.505409902,0,0,0,,,,0,0,0,,,,0,,,,,,,,,,,MRStrategy1,
