Pair-timeperiod,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_trades
USD/EUR-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,40.15444015,10456.72575,10778.41314,77.89283404,4.567257489,8.044754169,4.441117304,5.812325815,3.131424421,0.76408609,1.364623637,1.185490356,0.83115136,0.464415201,-3.746228117,-1.115860657,197 days 00:00:00,32 days 00:00:00,19,42.10526316,4.246271067,-1.841790162,0.233837865,22 days 00:00:00,7 days 00:00:00,1.852685008,0.241558086,0.792852353,0.189031146,"    Size  EntryBar  ...  Entry_SMA(C,11)  Exit_SMA(C,11)
0   9163        24  ...         1.084929        1.093204
1   9116        34  ...         1.095362        1.110485
2   9120        57  ...         1.108018        1.109434
3   9052        61  ...         1.110831        1.111831
4   9252        88  ...         1.082702        1.083160
5   9197        91  ...         1.084221        1.083637
6   9385       112  ...         1.051160        1.052392
7   9512       144  ...         1.031418        1.039040
8   9563       160  ...         1.036038        1.043644
9   9410       175  ...         1.047636        1.087750
10  9362       196  ...         1.082600        1.128417
11  9327       212  ...         1.135870        1.137065
12  9407       228  ...         1.122432        1.127533
13  9284       235  ...         1.129319        1.130779
14  9199       237  ...         1.133197        1.134570
15  9140       240  ...         1.136904        1.138551
16  9129       243  ...         1.138996        1.140562
17  9053       245  ...         1.143895        1.148427
18  9022       250  ...         1.149252        1.149680

[19 rows x 17 columns]"
USD/EUR-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,43.75,10789.58724,11052.97529,16.82408385,7.895872378,11.91990943,16.1390477,9.077044139,11.16346047,1.778006965,4.011361924,2.958434446,0.425656845,0.626700696,-5.455266288,-1.380453519,71 days 00:00:00,16 days 00:00:00,4,25,6.546384931,-0.806327542,1.183666243,71 days 00:00:00,20 days 00:00:00,4.019073442,1.229388886,0.675114746,0.184095011,"   Size  EntryBar  ...  Entry_SMA(C,40)  Exit_SMA(C,40)
0  9600        42  ...         1.038803        1.111234
1 -9438        99  ...         1.118601        1.120177
2  9279       104  ...         1.125422        1.126534
3  9194       106  ...         1.127558        1.128558

[4 rows x 17 columns]"
USD/EUR-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,0,10000,10000,0,0.742052547,0,0,0,,,,0,0,0,,,,0,,,,,,,,,,,CombinedStrategy1,
USD/JPY-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,27.7992278,10639.06021,10822.63177,45.59643716,6.390602096,-4.094318683,6.212627202,5.644253391,4.369669966,1.100699556,2.011683672,1.90263533,6.913639588,0.127747138,-3.265274804,-0.9723815,212 days 00:00:00,33 days 00:00:00,11,45.45454545,5.960610857,-1.580550335,0.611021084,36 days 00:00:00,8 days 00:00:00,2.288214938,0.633651297,0.908693766,0.249246422,"    Size  EntryBar  ...  Entry_SMA(C,23)  Exit_SMA(C,23)
0    -68        45  ...       146.209087      145.839304
1     70        63  ...       143.477564      143.425738
2     69        65  ...       143.394304      150.550217
3     68        92  ...       150.989130      151.208000
4     67        98  ...       152.421435      152.663392
5     67       100  ...       152.882566      153.618826
6     67       120  ...       152.585479      155.252478
7     70       189  ...       149.016565      149.153522
8    -72       234  ...       144.592740      144.634002
9     73       249  ...       144.047219      144.057784
10    73       251  ...       144.140219      144.282479

[11 rows x 17 columns]"
USD/JPY-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,1.5625,9982.226954,10000,3.968847144,-0.177730464,-9.061539059,-0.349605616,0.223176208,-0.247418536,-1.566500389,-1.559512567,-1.967055107,-0.181481583,-0.00041396,-0.177730464,-0.177730464,54 days 00:00:00,54 days 00:00:00,1,0,-0.139028819,-0.139028819,-0.139028819,3 days 00:00:00,3 days 00:00:00,0,-0.139028819,,,"   Size  EntryBar  ExitBar  ...  Exit_momentum(C,7)  Entry_SMA(C,8) Exit_SMA(C,8)
0    68        89       90  ...              0.0196      143.991501    144.430626

[1 rows x 17 columns]"
USD/JPY-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,1.160092807,10004.10794,10006.64365,3.964312161,0.041079382,-0.767869821,1.489538766,0.27017497,1.592173843,5.513237467,inf,58.78143148,0.043863027,0.003625152,-0.025340294,-0.016463331,0 days 19:45:00,0 days 10:08:00,1,100,0.081482373,0.081482373,0.081482373,0 days 01:00:00,0 days 01:00:00,,0.081482373,,,"   Size  EntryBar  ...  Entry_SMA(C,18)  Exit_SMA(C,18)
0    69       348  ...       143.221331      143.409665

[1 rows x 17 columns]"
USD/GBP-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,37.45173745,10241.21679,10497.15476,90.38086223,2.412167934,7.12120549,2.346215407,4.452110418,1.659233362,0.526989492,0.800590598,0.805477013,1.087873852,0.185964874,-2.912827267,-1.173525038,114 days 00:00:00,40 days 00:00:00,22,45.45454545,2.034924955,-1.039314359,0.135942449,19 days 00:00:00,6 days 00:00:00,1.523842753,0.139739391,0.708845128,0.151677217,"    Size  EntryBar  ...  Entry_SMA(C,29)  Exit_SMA(C,29)
0   7770        31  ...         1.284706        1.292711
1  -7775        46  ...         1.294279        1.295272
2  -7779        50  ...         1.298087        1.298870
3  -7790        52  ...         1.299941        1.301129
4   7631        55  ...         1.304147        1.320538
5  -7687        66  ...         1.321161        1.321741
6  -8029       121  ...         1.270485        1.266558
7   8324       158  ...         1.237714        1.237064
8   8186       162  ...         1.237545        1.244628
9   8141       171  ...         1.247650        1.249126
10  8072       174  ...         1.251328        1.267000
11  8035       184  ...         1.268749        1.270460
12 -8109       191  ...         1.280781        1.282050
13  7954       196  ...         1.286625        1.289148
14  7845       203  ...         1.293174        1.303265
15  7771       213  ...         1.306475        1.307591
16 -7787       217  ...         1.310858        1.312347
17 -7814       222  ...         1.316779        1.318101
18  7661       225  ...         1.320173        1.320921
19  7626       227  ...         1.322471        1.334359
20  7585       235  ...         1.335273        1.335575
21  7535       239  ...         1.338252        1.340105

[22 rows x 17 columns]"
USD/GBP-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,46.09375,10268.91416,10488.04368,24.58032339,2.689141598,9.841326676,5.363188714,4.869079416,3.764521437,1.101478998,1.98891688,2.286820345,-0.079696182,0.281348021,-2.345260189,-0.752416685,64 days 00:00:00,16 days 00:00:00,6,66.66666667,1.970949439,-0.405317613,0.531741313,27 days 00:00:00,13 days 00:00:00,6.276627833,0.535829635,1.309744174,0.557762311,"   Size  EntryBar  ...  Entry_SMA(C,24)  Exit_SMA(C,24)
0  7944        32  ...         1.239108        1.248433
1  7906        39  ...         1.249934        1.282392
2  7805        72  ...         1.294338        1.314639
3 -7836        89  ...         1.318786        1.319621
4  7694        98  ...         1.331246        1.332018
5  7625       100  ...         1.332668        1.342975

[6 rows x 17 columns]"
USD/GBP-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,0,10000,10000,0,-0.277208012,0,0,0,,,,0,0,0,,,,0,,,,,,,,,,,CombinedStrategy1,
USD/INR-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,23.55212355,10056.68627,10259.49006,32.19399942,0.566862725,2.227965784,0.551499943,2.041574704,0.39102567,0.270134588,0.361228837,0.278994207,-0.042157868,0.273352759,-1.97674335,-0.609588785,145 days 00:00:00,37 days 00:00:00,8,50,2.012133135,-0.902119834,0.110973122,50 days 00:00:00,10 days 00:00:00,1.444921319,0.114653963,0.341061201,0.149476055,"   Size  EntryBar  ...  Entry_SMA(C,23)  Exit_SMA(C,23)
0   117       122  ...        84.650600       84.712700
1   117       125  ...        84.743822       86.715822
2   116       172  ...        86.919788       86.987978
3   118       230  ...        85.205379       85.203940
4   117       234  ...        85.193613       85.429861
5   117       242  ...        85.513814       85.495144
6   117       246  ...        85.580931       85.748731
7   117       251  ...        85.794131       85.818592

[8 rows x 17 columns]"
